ensemble_member,time,x,y,region,lat,lon
0,2000-02-26,137514.59375,200669.390625,SE1,64.77646781565042,17.90158026264766
0,2000-02-26,137514.59375,210669.390625,SE1,64.86626174838383,17.911125996380687
0,2000-02-26,137514.59375,220669.390625,SE1,64.95605033345618,17.920734701950458
0,2000-02-26,137514.59375,230669.390625,SE1,65.0458333287062,17.930407004110013
0,2000-02-26,137514.59375,240669.390625,SE1,65.13561049113211,17.940143535898365
0,2000-02-26,137514.59375,250669.390625,SE1,65.22538157688544,17.949944938778255
0,2000-02-26,137514.59375,260669.390625,SE1,65.31514634126484,17.9598118627766
0,2000-02-26,137514.59375,270669.40625,SE1,65.40490467895174,17.969744982200343
0,2000-02-26,137514.59375,280669.40625,SE1,65.49465606302537,17.97974493359752
0,2000-02-26,137514.59375,290669.40625,SE1,65.58440038643982,17.989812409027667
